Company Size,Sector,Rating,IT HR Spending (USD),Software Licenses (USD),Cloud Services (USD),Hardware Costs (USD),Telco Costs (USD),Total IT Spending,Total Revenue,IT Spending as % of Revenue
Medium,E-Mobility,Normal,161301.8611,170395.8401,299964.0953,171400.5447,86970.64358,688683.4938,9099040.266,8.184318897
Small,E-Mobility,High,-741.6634459,-1962.214617,-2164.362913,-1366.145818,-497.3413684,-9109.112,-39302.54883,22.17319882
Medium,Circular Economy,High,175344.6845,146727.5148,262239.0242,142920.4503,103454.3729,1016027.075,5529706.867,18.71817773
Medium,Circular Economy,Normal,109204.7304,148879.6117,150266.6287,103169.7575,48834.94743,423304.3111,4719619.733,7.777956309
Small,Circular Economy,Low,39077.74549,85912.63056,116428.2054,64674.82579,32617.05892,44708.91987,1361151.526,4.002433936
Small,Renewable Energy,Normal,98574.70628,119807.8006,140137.8034,111549.4773,34297.27003,127782.0617,933611.5565,14.93034412
Small,E-Mobility,Normal,1256.218429,1674.09632,2074.423502,800.6792054,413.8296699,3673.091716,34828.85796,8.427803166
Small,E-Mobility,Normal,213290.3639,154308.6713,165802.6451,183201.446,105376.2962,511440.2653,4864700.116,9.423457834
Small,Circular Economy,High,78725.33926,88893.79321,163176.0987,81166.41195,69963.22906,955098.8626,3372935.431,30.40330198
Small,Renewable Energy,High,141890.3918,168740.6014,138349.7814,90699.38577,43217.1403,647663.6303,3574754.642,19.37904255
Large,E-Mobility,High,56487.15392,77510.47157,92169.87749,62915.99585,38337.43396,890372.7758,3509270.379,25.26005885
Small,Renewable Energy,High,33457.90354,26241.62466,44999.09233,17220.63928,20415.97586,135890.196,553605.1264,26.42205571
Small,Circular Economy,Normal,117117.4301,168979.9213,136503.4549,111705.6198,40169.91683,252619.1439,3262406.579,8.057196254
Small,Circular Economy,High,110602.9773,103268.6171,101953.3168,83827.23784,49607.62847,577475.4022,3237559.726,18.27398938
Medium,Renewable Energy,High,50985.88413,78143.02864,110419.6614,82806.14848,64015.29183,945284.6083,4634967.386,19.7296333
Small,Renewable Energy,High,56714.39105,157980.3176,105322.7743,105735.6291,38989.41381,151045.8116,775921.5173,19.97261568
Small,Renewable Energy,Normal,11340.77874,12805.85316,23884.49417,10853.87886,7401.677676,38289.96917,369294.6106,13.17186432
Small,Renewable Energy,High,73609.48051,78122.99202,74493.1435,37018.83611,47226.62435,194866.4714,800963.2651,26.89304362
Small,Renewable Energy,Low,100623.0245,77695.50044,78788.24558,83651.01857,32156.1204,22106.44078,1435043.696,2.153606118
Small,Renewable Energy,High,97943.2784,71789.99758,94701.03879,94146.59724,43655.17988,614346.7271,2265290.87,27.8066759
Medium,Circular Economy,Low,76604.36485,114659.0907,86478.00048,73813.72153,34233.11833,119332.6216,2815204.432,3.857739355
Small,Renewable Energy,Low,33231.94403,64891.57914,72169.59406,45260.54104,29429.34582,46238.70753,973324.7318,6.035137265
Small,Renewable Energy,Normal,27369.51208,57945.52739,45457.23429,25294.67455,14214.40924,148469.576,1626648.932,9.106300641
Small,E-Mobility,Low,239902.1189,129317.989,192509.3267,139260.83,75028.22182,156391.3719,3970372.021,3.812168886
Medium,Circular Economy,Normal,99162.67403,135717.3738,144506.5833,107031.0075,92570.08922,373547.4732,3683811.77,9.807806312
Small,Circular Economy,Normal,151353.5584,129903.1415,165082.1536,120802.0456,37153.09078,462415.1403,3417729.629,12.86625145
Medium,Circular Economy,High,52093.20961,60801.11632,118826.6282,54987.43682,31422.44663,505433.8652,2284076.426,24.84646281
Small,Renewable Energy,High,143234.8235,228416.9739,222004.1266,216285.5114,107451.1218,1888771.846,7128174.071,22.39907434
Large,Renewable Energy,High,114989.9636,175212.9787,220041.281,59057.80094,73558.29425,923845.7152,4971523.735,21.20581842
Small,Renewable Energy,High,105372.6901,87895.65005,150538.6835,52953.05064,30450.83282,560991.9327,2192708.961,22.87584572
Large,Renewable Energy,High,154465.8086,173580.1867,229970.9344,114855.2898,94918.96904,565224.4956,2744751.29,18.62792081
Medium,E-Mobility,High,150724.9986,186667.5261,224866.8144,110813.5133,44396.98612,1070603.576,4308565.381,29.65191898
Medium,Renewable Energy,High,94465.16141,129763.2278,76917.87934,75069.88354,37729.5516,416983.8243,2432966.208,18.65870826
Small,Renewable Energy,Low,95792.20357,147367.7184,148623.4919,120157.5215,47442.87571,22681.73265,1113813.785,2.12545187
Small,E-Mobility,High,120981.2714,144172.1993,221587.5854,147106.7985,37029.27091,182509.9925,1045779.989,16.64056156
Small,Renewable Energy,Normal,43649.51931,96511.89992,97649.1888,34682.22749,38661.47707,260305.3893,1653325.903,15.4418915
Small,Renewable Energy,Low,29838.27393,46691.04996,83085.63348,31361.7262,14061.55525,23552.36341,594561.8705,4.111744767
Small,E-Mobility,Normal,50557.29157,82019.55978,133600.4741,59748.20093,42806.72158,368836.4853,3537331.879,9.921761312
Small,Renewable Energy,High,68114.54887,83017.11906,97703.57911,75075.32271,35782.89495,325793.6337,1978795.385,19.32578006
Small,Renewable Energy,High,251513.1437,202084.3036,326868.0168,101638.3261,126607.264,2325711.369,9804210.872,25.49216295
Small,Renewable Energy,Normal,94973.09968,66070.11032,94084.29512,74457.06755,35012.14353,336280.2527,2842628.534,11.5323748
Medium,Circular Economy,Low,213811.0103,219892.1368,283519.5805,155866.2961,72144.51725,25562.18566,1679045.285,1.934811142
Small,Renewable Energy,Normal,42640.64849,57886.73488,72068.04076,43964.63615,18912.5956,219610.4457,1427478.073,14.76827999
Small,Renewable Energy,High,197774.578,241474.9203,229464.1149,147442.4686,56686.00089,830669.8392,3212208.899,20.57972978
Small,Renewable Energy,Normal,98528.2763,181336.7736,125783.8951,103634.9407,64949.44644,91082.48631,948900.3425,9.062135284
Small,Circular Economy,High,195958.9963,112638.9811,156463.2842,124406.8257,63185.11133,1154723.859,3618288.825,26.26511338
Small,E-Mobility,Normal,220873.3208,193465.3352,221165.6302,144112.3296,43657.41009,143667.5733,1233563.205,12.03183559
Large,E-Mobility,High,80210.97832,175430.6349,182576.5881,108362.4313,76366.70935,570686.9583,2123375.146,29.21140566
Small,Renewable Energy,Normal,68358.19958,80431.01732,79161.49115,24688.45691,34116.04506,107869.2458,1460200.593,7.809249416
Medium,E-Mobility,High,209547.0084,195403.6539,201506.5686,135111.4735,59417.26582,759583.7919,4765957.721,18.42554849
Small,Renewable Energy,Normal,46316.03747,92686.70465,86826.70985,85189.74504,25995.6581,348822.6266,2672463.696,12.97764937
Medium,Circular Economy,High,-26130.76637,-53634.94486,-44976.33855,-43366.14668,-28754.04507,-148958.5082,-768530.4261,18.01257158
Small,E-Mobility,High,141819.9602,102868.1036,201048.7003,56802.69301,32273.6377,1170819.358,5071809.601,23.77640761
Small,Circular Economy,High,86857.33483,55771.00568,67731.4431,59140.95291,29284.7643,463638.7803,2442992.342,18.28396675
Small,E-Mobility,Normal,92537.11599,114568.6924,128021.5882,60985.23059,50608.27001,224011.1078,1874833.892,12.49093686
Small,Circular Economy,Low,180737.7305,136842.4777,267797.2567,139951.6344,73450.74976,208563.1182,3940426.145,5.980876414
Medium,Circular Economy,High,4033.030873,11765.43432,8175.374115,4309.907709,2080.161868,61332.54727,290959.2509,21.03476758
Small,Renewable Energy,High,86718.77241,59607.07264,126875.6694,44875.4078,25121.46074,496034.5831,2375243.261,18.59291281
Medium,Renewable Energy,Low,34454.97341,87510.25703,88177.8934,80074.11309,47099.51015,93596.9479,1375905.568,5.933994592
Small,E-Mobility,Normal,56058.62934,117632.714,115107.1549,45499.523,43042.91127,497315.5246,3511258.199,13.91081519
Medium,Circular Economy,High,77130.27392,94845.27214,100868.5275,54189.73315,65640.67095,567147.4879,1848371.006,29.14883602
Large,E-Mobility,High,115892.8126,111254.0468,257253.9258,88874.78181,88202.38539,1587421.164,6884245.901,22.65753442
Small,Renewable Energy,Normal,71370.76659,142189.9965,155287.9885,83462.98226,66740.31401,247786.3648,2340623.808,10.31661266
Small,Circular Economy,High,65155.2354,98445.54845,135880.2757,57306.19097,24407.13395,537696.2845,2210240.031,24.51546271
Small,Renewable Energy,High,108227.1893,103123.6466,89677.31546,66777.87263,46460.26444,544484.3753,3423483.194,17.16178409
Small,E-Mobility,Normal,127790.8195,119019.6014,165148.4122,60222.58678,43409.39139,224507.0665,2184960.885,9.925319252
Small,Circular Economy,Normal,85036.13215,168145.9641,293092.7655,130522.9087,75695.04208,995743.5218,7376303.282,13.22439176
Large,Renewable Energy,Normal,211785.7255,197545.1313,309159.0687,118368.3431,70308.68605,709582.1206,4716478.483,14.24763944
Small,Circular Economy,Low,135673.4042,251454.5253,143998.849,132507.0705,99773.31403,55116.79441,1187636.669,4.755174942
Medium,Circular Economy,High,71422.19036,60042.74302,82510.87919,75610.21896,47433.75812,718115.9682,2090293.197,29.23687251
Medium,E-Mobility,High,116165.7841,168724.0626,130294.0319,81227.43492,77594.39403,1110257.921,3873660.29,30.90540872
Small,Renewable Energy,Normal,50407.5153,70427.2621,74545.51664,35790.30928,14565.07813,66298.53489,477556.517,13.33587591
Medium,Circular Economy,High,79351.38274,67847.46797,144981.4733,91394.6166,35406.64269,193229.8626,723621.7573,28.43269595
Small,E-Mobility,High,142670.139,157173.7143,158970.2807,58291.84164,48112.46034,472557.754,1808006.012,23.47993252
Medium,Renewable Energy,High,94600.52696,178583.2265,144586.2717,127312.2283,61636.85272,739788.8519,3043434.307,25.01617402
Small,E-Mobility,Normal,113975.6346,121322.4674,191521.8419,156160.0165,91941.70186,262745.0544,3124447.952,7.853938955
Medium,Renewable Energy,Normal,221571.4974,214297.2989,275842.0844,197331.6293,52905.93892,114140.14,1335416.285,9.579753507
Medium,Circular Economy,Normal,88639.80676,91095.65437,82101.25678,52076.92303,24188.46682,83885.6081,800909.2097,10.34361923
Medium,E-Mobility,Low,52484.88105,46042.7601,45700.44348,21202.6588,19710.38825,98592.52276,1552574.501,6.847473595
Small,Renewable Energy,High,140681.5874,310213.0823,325380.9017,133196.3521,59693.33935,1712258.978,7747754.054,22.03233306
Large,E-Mobility,Normal,143407.283,91226.28339,162992.8835,129848.6847,65649.23434,199314.128,2144751.624,8.784972067
Medium,Circular Economy,Low,78472.09972,66352.10861,65970.30055,77845.05796,23214.49473,78108.10301,1222178.499,5.98661804
Small,Circular Economy,Low,99647.59373,205283.9585,163189.1038,113814.1634,50366.08425,112070.1005,1722258.829,7.469763046
Medium,Renewable Energy,Normal,120749.3643,135477.6486,166952.5343,90928.86131,32766.19102,535017.9369,4265647.356,10.83954735
Small,Renewable Energy,Normal,23090.79553,46056.52855,56531.89734,27302.39979,24821.561,45302.36709,361990.3169,13.01500243
Small,Renewable Energy,Low,17441.74779,15454.31649,23413.67133,17609.98364,11265.58109,10081.80132,403647.2063,3.093735539
Medium,Circular Economy,Normal,124275.1394,103959.5378,152257.0169,119208.6387,47669.7818,455831.2574,3164808.789,14.135414
Small,E-Mobility,Normal,51828.58549,103165.4199,95897.23036,70319.80133,51954.32641,240104.7217,1743036.636,13.85141236
Medium,Renewable Energy,Normal,66740.47504,115025.9943,93124.84893,49115.87719,53313.11151,296975.0141,2655164.549,10.95911007
Small,E-Mobility,High,29553.96926,28547.80302,68029.66035,30636.34033,13927.59309,231736.5967,1056804.882,19.81544856
Small,Circular Economy,High,94109.93481,144608.6966,157254.3208,62312.13203,64190.86746,676504.2245,4372606.438,17.50348011
Small,E-Mobility,High,84770.90946,74210.53583,165940.1638,82167.62562,35624.03824,854929.1945,3581310.001,23.11421089
Small,Renewable Energy,High,251579.2995,203458.5163,216765.6564,206446.6974,95615.2797,2160555.327,8738046.92,25.49246864
Small,Renewable Energy,High,136537.1519,155032.5692,150269.9895,57395.77278,73054.77521,534828.7963,2774736.554,18.46452964
Small,Renewable Energy,Normal,139727.8478,195951.7473,151748.9132,71167.17668,34324.75811,289350.8662,3597246.037,7.738988683
Medium,Circular Economy,Normal,62508.93939,88191.75986,177608.1015,71036.83998,46155.97771,601163.1329,4073387.282,13.57217599
Medium,Circular Economy,Normal,78450.3091,124257.9354,201461.9726,151252.892,87583.65701,148131.181,1540918.446,9.736002989
Small,Circular Economy,High,110215.1801,134800.8616,209458.6626,79660.51953,57120.07794,546410.1849,3137834.936,20.2854157
Medium,E-Mobility,Normal,85425.62017,145351.7699,133916.1932,75537.23157,49287.38581,310004.3292,3125499.693,8.389491822
Small,Renewable Energy,Normal,259762.8348,370505.1262,331137.4028,94823.10128,64831.77151,1076114.249,7618204.97,14.27691918
Small,Circular Economy,Normal,48057.80706,136459.4354,167277.3491,59985.30996,46195.2573,126861.6468,861137.025,14.02399027
Medium,Circular Economy,Low,56192.0022,81054.75289,111491.5478,42292.63998,18780.15423,32787.13588,2904132.151,0.915956477
Medium,Renewable Energy,Normal,59740.3164,175931.2731,216039.7609,120308.2291,52422.5335,393204.5479,2959186.468,13.20132241
Medium,Renewable Energy,High,26863.62334,47570.02594,69228.52057,39199.11112,19304.20653,332762.8683,1757633.771,19.45196439
Small,Renewable Energy,High,44900.9151,65064.73078,109032.1231,54584.87867,44581.22237,479484.7113,1985017.184,24.70756708
Large,E-Mobility,High,221211.5586,219096.4873,222509.2564,106305.8181,41044.47244,1065883.116,6586783.44,13.87853755
Medium,E-Mobility,High,66296.13223,146555.4275,141028.1303,119984.4001,29251.20825,1062854.087,3977132.621,25.63966729
Large,Circular Economy,High,44566.08925,42343.53785,42150.90985,44695.17101,25478.50711,268611.6574,1038234.456,25.04094228
Small,E-Mobility,Normal,65875.86577,158866.3393,142748.7164,98007.34413,59820.78277,163221.6557,1632109.964,10.34328387
Medium,Circular Economy,High,139570.5308,135016.7424,153547.3313,76098.76829,61464.93831,669262.6182,2718071.334,25.92634223
Small,Renewable Energy,Normal,48063.2685,73458.68329,59879.46835,60798.98825,15091.6994,75106.51128,504283.0541,13.38631204
Medium,E-Mobility,High,34505.09707,51525.85988,43787.32904,24565.81649,17920.76381,272028.4798,934978.5693,29.95766693
Small,Circular Economy,High,88968.88834,164891.5956,165594.5541,52438.85514,82731.69072,834932.2299,4559715.879,19.61450676
Medium,Circular Economy,Normal,134583.9343,108201.6085,97013.17279,62214.86881,53440.45297,157792.2159,1177546.483,12.55003597
Medium,E-Mobility,High,213057.9203,127998.9395,210399.4821,133883.1566,86145.76915,901336.8214,5176832.954,17.99258064
Small,Circular Economy,Normal,101824.5606,202414.8318,124790.6069,75212.2041,31561.19398,499993.1875,3471532.317,11.53497302
Small,Renewable Energy,Normal,118493.8475,158030.4613,175291.5795,123913.0046,42827.73815,97873.47619,747964.8462,12.44457925
Small,Circular Economy,Normal,68659.28571,50254.31568,136600.7177,43980.0757,46781.04885,403605.6637,2978552.384,12.73800719
Medium,Renewable Energy,High,188672.1793,189742.3183,251765.3769,111567.877,122664.6306,1002462.875,6002489.324,17.23140122
Small,E-Mobility,High,21587.38736,23191.49665,32213.20143,24099.10073,14082.95306,51839.24474,373334.1746,15.95418367
Medium,E-Mobility,Normal,246994.8655,200371.0291,163900.7064,176074.3438,70510.98097,219441.3834,2237566.265,9.246630116
Medium,Circular Economy,Low,133529.2866,109141.0477,133267.4995,106464.4526,53245.80311,239685.8979,3798273.449,5.59815319
Large,E-Mobility,High,69655.00986,46655.39056,72362.79,56219.36301,13376.15577,264405.4233,951675.8694,27.92353976
Medium,E-Mobility,Low,89052.79807,191417.82,140489.2522,112995.4133,67129.72385,176159.5506,3144457.528,4.971000732
Small,Renewable Energy,Low,18862.7043,19841.39753,14594.30232,15585.10813,11056.12741,9455.768735,695334.6394,1.094894365
Small,Renewable Energy,Low,183451.3316,144018.3093,195942.6523,132190.4674,82133.56245,222965.1754,5265711.023,3.977237492
Medium,E-Mobility,High,50262.64675,84441.58201,130018.6408,93308.0234,27303.27583,577653.9782,3283130.02,18.97670004
Small,E-Mobility,Low,108634.5739,91728.96169,131992.6617,45672.90273,20099.0883,152839.1034,3709794.684,4.007711034
Small,Circular Economy,Normal,57624.80266,141844.7211,181221.4361,52611.65326,45662.18198,514914.7314,3536200.234,13.66143895
Small,Renewable Energy,Normal,60364.01215,84081.76341,190872.3892,71904.23179,33346.01121,237494.006,2505861.721,9.876637788
Small,E-Mobility,Low,81856.21606,180163.7982,136782.9638,131829.1196,50264.96157,258527.9042,4445210.194,5.949474086
Small,Circular Economy,Normal,99863.86856,213931.3663,333163.9769,114242.1835,115434.9576,451586.9749,4823061.669,9.271640583
Medium,Renewable Energy,Normal,103914.9988,51890.19837,76350.87419,74404.81705,42486.14643,240896.7436,2228047.427,11.7560362
Small,Circular Economy,Low,104628.4791,102910.2269,90437.88496,58681.01307,39165.41474,47112.89044,2798317.561,2.035968085
Small,E-Mobility,Normal,71610.52337,54630.04757,51742.24762,41678.42012,32150.06167,189886.1137,1683936.386,12.71224661
Large,E-Mobility,High,111867.3081,188171.1939,143556.9027,147238.787,87155.53207,510588.9161,2368802.128,20.93873129
Medium,E-Mobility,Low,49219.94586,68883.08727,91860.46154,76787.47261,26835.94482,21652.94198,2101717.707,0.979268475
Small,Renewable Energy,Normal,24549.14278,37881.6345,30998.53568,22186.626,11714.66134,92599.6235,909220.5686,10.60163361
Small,Renewable Energy,Normal,42927.17017,85820.04485,105923.8613,84072.07554,53095.81415,239534.5005,1773294.006,14.22011121
Medium,E-Mobility,Normal,71687.07352,123615.8244,115827.2337,56485.14514,20365.92296,146185.2632,1339435.568,10.80257289
Small,Circular Economy,Normal,155460.9741,156164.6467,174211.3842,106912.6017,103557.9869,920216.8672,6557430.062,13.47435241
Small,E-Mobility,Normal,76815.4163,102249.6271,92648.09221,43960.68608,41105.63352,166168.3337,1259191.9,13.3482988
Large,E-Mobility,Low,126152.5532,104962.9167,183228.4952,76886.8914,65129.69384,143614.6171,2723224.397,5.010757743
Medium,Renewable Energy,Normal,137923.1366,131910.1059,177561.4643,76242.94041,66485.90416,316565.2862,2419260.79,14.48080054
Small,Circular Economy,High,116917.5418,141426.5851,165245.0468,91839.58505,52226.43775,934011.5071,4580906.54,18.83143209
Small,Circular Economy,Normal,47794.32349,77756.74245,136997.7795,65974.98451,38242.97846,300852.2232,3489571.316,9.954734088
Medium,Renewable Energy,Normal,39014.12354,131819.3367,138882.8884,40118.65002,49780.93847,204608.9094,2309533.128,8.872581652
Small,Circular Economy,Normal,51728.85153,47974.04572,69278.4229,53815.4712,18523.35241,187467.1945,1380496.505,11.68372406
Small,Circular Economy,Low,82275.19904,155177.3092,98450.95481,94501.71285,55566.31438,27458.98879,909023.0585,3.023714085
Small,E-Mobility,High,69886.6639,55521.00787,111110.6207,54422.66209,50385.31909,441731.0999,1419797.488,29.04849303
Small,Circular Economy,Low,58124.61586,121801.1028,186929.1255,94250.27319,81642.59885,195557.6606,2662034.669,6.971336967
Large,Renewable Energy,High,-23370.62262,-27348.39451,-22512.35396,-21980.56346,-5105.133104,-130425.5958,-750295.5486,19.94163156
Medium,E-Mobility,Low,194566.2954,143951.0722,266634.345,114324.8751,75993.35238,244100.9632,4486285.353,5.186861243
Small,E-Mobility,Low,56506.06124,122001.0175,138400.2598,50986.02777,62694.0492,188656.0276,3713608.068,5.074469048
Small,Renewable Energy,Normal,107575.1365,159375.3571,368825.1388,148964.7893,123508.8696,457365.0968,3005886.056,13.29260116
Small,Circular Economy,High,163742.9704,110813.8877,281691.4303,76493.86903,34598.51349,535654.4377,1776849.338,29.84346233
Small,E-Mobility,Low,51545.58476,37779.2828,64969.10578,43855.10892,13933.74148,18530.11714,867713.8427,2.177549085
Small,Circular Economy,High,49722.21592,84195.00923,73143.75284,46999.68914,21333.3416,308561.5921,1675448.629,15.74268338
Small,Circular Economy,High,22909.63601,45765.76678,47620.69627,28788.09735,8522.579691,347007.4197,1406211.535,24.16758201
Medium,Circular Economy,Normal,23250.13514,34760.31135,32908.85153,26990.18284,15495.62872,63622.63104,621040.1134,10.03251232
Small,Renewable Energy,Normal,147326.2538,123022.6964,207297.0343,100967.871,28825.92197,180663.0457,2457737.832,8.325312162
Small,Circular Economy,Low,68216.42403,66923.90199,85760.05479,50846.9138,42996.96104,95704.3472,2282281.862,3.831229225
Small,E-Mobility,High,211182.8161,217438.9094,184072.2294,193714.9424,86760.87147,1570334.594,6493847.521,18.2563274
Small,E-Mobility,Normal,101242.0705,156788.5711,207645.4752,75125.9106,65028.74146,140152.7199,1773761.876,8.062729206
Medium,Renewable Energy,High,180913.89,161196.2634,230622.3177,113822.972,66195.82646,324686.1064,1592614.971,19.26716897
Small,E-Mobility,Normal,157296.6336,164496.8345,166690.0822,149859.6905,68521.48454,644085.8009,5846901.937,11.81927968
Small,Circular Economy,High,183801.4925,181943.8918,241678.8683,165913.6341,91316.64523,750920.2438,4278280.854,16.85667416
Medium,E-Mobility,High,144526.0854,238983.2618,290216.7173,98667.95911,100463.1837,1095121.416,4501663.983,24.32789783
Large,Renewable Energy,Normal,51874.64315,121413.1623,88467.13867,111948.409,46606.88219,388563.0157,3355752.355,13.42044862
Small,Circular Economy,Low,31335.58962,38494.48562,59826.24048,45916.1693,13359.65712,16195.84702,858587.4264,1.962223511
Medium,Circular Economy,High,144988.0721,230653.1608,362201.9787,104414.353,111884.0804,560573.2842,2344114.091,22.45086934
Small,Renewable Energy,High,91015.84409,140390.9074,167358.4512,95596.5405,20962.44339,799300.3418,2675793.723,26.45058461
Small,E-Mobility,High,101732.657,208083.3609,225077.8818,99997.53708,57570.65152,1602893.348,5152878.965,29.0203072
Medium,Circular Economy,High,66848.03268,89600.66593,55266.06323,67164.17694,17395.43636,183431.3591,920299.2562,18.50740909
Small,E-Mobility,High,8263.839723,17737.87031,15759.20042,8096.766516,7924.127528,124879.7279,432647.2627,27.17204738
Small,Circular Economy,High,35109.29175,45385.40288,43552.51016,19362.59366,13132.84377,110101.2883,610000.8519,18.32191875
Small,Renewable Energy,Normal,45170.529,37625.96313,71827.41077,39898.14977,25444.18973,203746.655,2181840.616,8.498460458
Medium,E-Mobility,Normal,136725.4319,174212.5664,147692.0012,74309.297,85691.97876,464771.322,5504039.625,9.130397424
Medium,Renewable Energy,Low,158834.6239,156509.775,161931.7363,114929.9489,32078.33419,304182.9923,4773641.318,6.332013127
Medium,Renewable Energy,Normal,115722.2069,251722.9644,191569.016,112301.1624,57802.55934,606665.7196,5140246.032,10.63522738
Small,Circular Economy,Normal,122952.9247,133099.2095,209924.9995,70242.81525,74660.23759,142362.2716,1168374.373,11.87752214
Medium,Renewable Energy,High,30150.54915,28154.71172,57046.36434,38790.05356,23022.10222,181366.2337,1125536.849,20.80591302
