IT Systems Type,Cloud Usage,Cybersecurity Measures,Data Management Systems,Network Infrastructure,Digital Transformation Readiness,Rating
Modern,Partial,Advanced,Advanced,Advanced,High,Basic
Modern,Partial,Advanced,Advanced,Advanced,Low,Developing
Modern,Full,Advanced,Advanced,Advanced,Low,Developing
Legacy,Partial,Advanced,Advanced,Advanced,Medium,Developing
Modern,None,Advanced,Advanced,Advanced,Low,Developing
Modern,Full,Advanced,Advanced,Advanced,Low,Advanced
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Developing
Mixed,Full,Advanced,Advanced,Advanced,Low,Developing
Legacy,Full,Advanced,Advanced,Advanced,Medium,Developing
Mixed,None,Advanced,Advanced,Advanced,High,Developing
Modern,None,Advanced,Advanced,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,High,Developing
Legacy,Full,Advanced,Advanced,Advanced,Low,Developing
Mixed,None,Advanced,Advanced,Advanced,Low,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Developing
Modern,Full,Advanced,None,Advanced,Medium,Developing
Mixed,Partial,Advanced,Advanced,Advanced,High,Basic
Mixed,Partial,Basic,Advanced,Basic,High,Developing
Modern,Partial,Advanced,Basic,Basic,Medium,Developing
Legacy,Partial,Advanced,Basic,Advanced,Medium,Developing
Mixed,Full,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,None,Basic,Low,Developing
Legacy,Full,Advanced,None,Basic,Low,Developing
Modern,Full,Basic,Basic,Advanced,High,Basic
Modern,Partial,Basic,Basic,Advanced,Medium,Basic
Legacy,Full,Advanced,Basic,Basic,Low,Basic
Mixed,Full,Basic,Advanced,Advanced,Medium,Basic
Mixed,Partial,Basic,None,Advanced,Low,Basic
Modern,Full,Basic,Basic,Advanced,Medium,Basic
Mixed,Partial,Advanced,Basic,Basic,Medium,Basic
Mixed,Partial,Basic,None,Basic,Low,Basic
Mixed,Full,Basic,Basic,Advanced,Medium,Basic
Modern,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Legacy,Partial,Advanced,None,Advanced,Medium,Basic
Mixed,Full,Basic,Advanced,Advanced,Low,Basic
Mixed,Partial,Advanced,Advanced,Advanced,High,Basic
Legacy,Partial,Basic,Basic,Advanced,Medium,Basic
Modern,Partial,Advanced,Basic,Advanced,Medium,Basic
Modern,Full,Advanced,Basic,Basic,Medium,Basic
Modern,Full,Advanced,Basic,Basic,Low,Basic
Mixed,None,Advanced,Basic,Basic,Medium,Basic
Modern,Partial,Basic,Basic,Advanced,Medium,Basic
Legacy,Partial,Advanced,Advanced,Advanced,High,Basic
Mixed,Partial,Basic,None,Basic,Low,Developing
Mixed,Partial,Advanced,Basic,Advanced,High,Developing
Modern,Full,Basic,None,Advanced,Medium,Developing
Modern,None,Basic,None,Basic,Low,Developing
Mixed,Partial,Basic,Advanced,Advanced,Medium,Developing
Mixed,Partial,Basic,Basic,Advanced,Low,Developing
Legacy,Full,Basic,Basic,Advanced,Low,Developing
Modern,Full,Advanced,None,Advanced,Low,Developing
Legacy,Full,Basic,Basic,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Mixed,Full,Basic,Basic,Basic,Low,Developing
Mixed,None,Basic,Basic,Basic,Low,Developing
Modern,Partial,Advanced,Advanced,Advanced,High,Basic
Modern,Partial,Basic,Basic,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Modern,Full,Advanced,Advanced,Advanced,Low,Advanced
Modern,Partial,Basic,Basic,Basic,Low,Developing
Legacy,Full,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Mixed,Partial,Basic,Basic,Basic,Low,Developing
Modern,Partial,Advanced,Advanced,Advanced,High,Basic
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Mixed,Partial,Advanced,Advanced,Advanced,High,Advanced
Modern,None,Basic,Basic,Basic,Low,Developing
Mixed,None,Basic,Basic,Basic,Low,Developing
Mixed,Full,Basic,Basic,Basic,Low,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Mixed,None,Basic,Basic,Basic,Low,Developing
Mixed,None,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Legacy,Full,Basic,Basic,Basic,Low,Basic
Modern,Full,Basic,Basic,Basic,Low,Developing
Mixed,None,Basic,Basic,Basic,Low,Developing
Mixed,None,Basic,Basic,Basic,Low,Developing
Mixed,Partial,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Mixed,Full,Basic,Basic,Basic,Low,Developing
Legacy,Partial,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Medium,Developing
Legacy,Full,Basic,Basic,Basic,High,Developing
Legacy,Partial,Basic,Basic,Basic,High,Developing
Legacy,None,Basic,Basic,Basic,High,Basic
Mixed,Full,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,High,Developing
Modern,Full,Basic,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,High,Developing
Modern,Full,Basic,Basic,Basic,Medium,Developing
Modern,Full,Basic,Basic,Basic,Medium,Developing
Modern,Partial,Basic,Basic,Basic,High,Developing
Legacy,Full,Basic,Basic,Basic,Medium,Basic
Modern,Full,Advanced,Advanced,Advanced,Medium,Advanced
Legacy,Full,Basic,Basic,Basic,Medium,Developing
Modern,Partial,Basic,Basic,Advanced,High,Developing
Modern,Full,Advanced,Basic,Basic,High,Developing
Legacy,Full,Advanced,None,Advanced,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Basic
Modern,Partial,Basic,Basic,None,Low,Basic
Modern,Partial,Basic,Basic,Advanced,High,Developing
Modern,None,Advanced,Basic,Basic,Medium,Developing
Mixed,None,Advanced,Advanced,Basic,Medium,Developing
Mixed,None,Basic,Advanced,Advanced,Medium,Developing
Modern,None,Basic,Advanced,Advanced,Low,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,None,Basic,Basic,Basic,Medium,Basic
Modern,None,Basic,Advanced,Basic,Low,Developing
Modern,Full,Advanced,Basic,Advanced,High,Developing
Mixed,Full,Advanced,Basic,Advanced,Low,Developing
Mixed,Full,Advanced,None,Advanced,Medium,Developing
Modern,Partial,Advanced,Basic,Basic,Medium,Developing
Modern,Partial,Basic,Basic,Basic,Low,Basic
Legacy,Full,Basic,Basic,Basic,Low,Basic
Modern,Partial,Basic,Basic,Basic,Low,Basic
Mixed,None,Basic,Advanced,Basic,Medium,Developing
Mixed,Partial,Advanced,None,Advanced,Medium,Developing
Legacy,Partial,Advanced,Basic,Basic,Medium,Developing
Mixed,None,Advanced,None,Advanced,Medium,Developing
Mixed,Full,Basic,Basic,Basic,Low,Basic
Mixed,None,Basic,Basic,Basic,Medium,Basic
Mixed,Partial,Advanced,Basic,Advanced,High,Developing
Modern,Partial,Basic,Basic,Advanced,High,Developing
Mixed,Partial,Basic,Basic,Advanced,Low,Developing
Legacy,Partial,Basic,Advanced,Basic,Low,Developing
Modern,Partial,Basic,Advanced,Advanced,Medium,Developing
Modern,Partial,Advanced,None,Advanced,Low,Developing
Modern,Partial,Advanced,Basic,Basic,Low,Developing
Mixed,Full,Basic,None,Basic,Medium,Developing
Modern,Full,Basic,Advanced,Basic,Medium,Developing
Modern,Full,Basic,Advanced,Advanced,Medium,Developing
Modern,Partial,Basic,Advanced,Basic,High,Developing
Modern,Partial,Basic,Advanced,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Medium,Basic
Modern,Full,Basic,Advanced,Basic,Medium,Developing
Modern,Full,Basic,Basic,Basic,Medium,Basic
Modern,Full,Advanced,Basic,Basic,High,Developing
Modern,Partial,Basic,None,Basic,Low,Developing
Mixed,Partial,Basic,Advanced,Advanced,Medium,Developing
Mixed,Partial,Advanced,Advanced,Basic,Low,Developing
Modern,Full,Basic,Advanced,Advanced,Medium,Developing
Mixed,Full,Basic,Basic,Advanced,High,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,Low,Developing
Modern,None,Basic,None,Advanced,High,Developing
Mixed,Partial,Advanced,Basic,Advanced,Medium,Developing
Legacy,None,Basic,Advanced,Advanced,Medium,Developing
Modern,Full,Basic,Basic,Advanced,Medium,Developing
Legacy,Full,Basic,None,Advanced,Medium,Developing
Modern,None,Advanced,Advanced,Basic,Low,Developing
Mixed,Partial,Basic,Basic,Basic,Medium,Basic
Modern,Partial,Basic,Basic,Basic,Medium,Basic
Modern,None,Basic,Advanced,Advanced,High,Developing
Modern,None,Basic,Basic,Basic,Medium,Basic
Legacy,Partial,Basic,Advanced,Advanced,Medium,Developing
Modern,None,Basic,Basic,Advanced,High,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Mixed,Partial,Advanced,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Basic,Low,Developing
Legacy,Partial,Basic,Basic,Basic,Low,Basic
Modern,Partial,Basic,Basic,Advanced,High,Developing
Legacy,None,Basic,Basic,Advanced,Medium,Developing
Mixed,Partial,Advanced,Basic,Basic,High,Developing
Modern,Partial,Advanced,Basic,Basic,Low,Developing
Modern,Full,Basic,None,Advanced,High,Developing
Mixed,Full,Advanced,Basic,Advanced,Low,Developing
Legacy,None,Basic,Basic,Basic,High,Basic
Legacy,Full,Advanced,None,Basic,High,Developing
Modern,None,Basic,Basic,Advanced,High,Developing
Modern,Partial,Basic,Advanced,Basic,Low,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Legacy,Full,Advanced,Basic,Advanced,Low,Developing
Modern,None,Advanced,Basic,Basic,Low,Developing
Mixed,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Basic,Advanced,Basic,High,Developing
Mixed,Full,Basic,Advanced,Basic,Low,Developing
Mixed,Partial,Basic,Advanced,Advanced,Low,Developing
Modern,Partial,Advanced,Basic,Advanced,Medium,Developing
Legacy,Full,Basic,Basic,Basic,Low,Basic
Legacy,Partial,Basic,Advanced,Advanced,Low,Developing
Legacy,None,Basic,Basic,Basic,High,Basic
Modern,None,Basic,Basic,Basic,High,Basic
Modern,None,Basic,None,Basic,Medium,Developing
Mixed,Partial,Basic,Basic,Basic,Medium,Basic
Modern,Full,Advanced,Advanced,Advanced,High,Advanced
Modern,Full,Basic,Basic,Advanced,Medium,Developing
Legacy,None,Advanced,Basic,Advanced,High,Developing
Legacy,Full,Basic,Basic,Basic,High,Basic
Mixed,None,Basic,Basic,Basic,Low,Basic
Mixed,None,Basic,Basic,Advanced,High,Developing
Modern,None,Advanced,Advanced,Basic,Medium,Developing
Modern,Partial,Basic,Advanced,Advanced,Medium,Developing
Mixed,None,Advanced,Basic,Advanced,Medium,Developing
Mixed,Full,Basic,Advanced,Basic,Low,Developing
Modern,None,Basic,Basic,Advanced,Medium,Developing
Legacy,None,Advanced,None,Basic,Medium,Developing
Legacy,Partial,Basic,Basic,Advanced,Low,Developing
Mixed,Partial,Basic,Basic,Basic,Medium,Basic
Mixed,Partial,Basic,Basic,Basic,High,Basic
Modern,Partial,Advanced,Basic,Advanced,Low,Developing
Modern,Partial,Basic,Advanced,Basic,Medium,Developing
Modern,None,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Basic,Medium,Developing
Legacy,Partial,Advanced,None,Advanced,High,Developing
Mixed,Partial,Basic,None,Advanced,High,Developing
Modern,Full,Basic,Advanced,Basic,Low,Developing
Legacy,Partial,Basic,Basic,Advanced,Medium,Developing
Mixed,Partial,Basic,Basic,Basic,Medium,Basic
Modern,Partial,Advanced,Advanced,Basic,Medium,Developing
Modern,Full,Advanced,Advanced,Basic,Medium,Developing
Legacy,Partial,Basic,Advanced,Advanced,High,Developing
Mixed,None,Basic,Advanced,Basic,Medium,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,None,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Basic,Advanced,Advanced,Low,Developing
Legacy,None,Basic,None,Advanced,Medium,Developing
Modern,Full,Basic,None,Basic,Medium,Developing
Mixed,Full,Basic,Basic,Basic,Medium,Basic
Modern,None,Basic,Basic,Advanced,Medium,Developing
Modern,None,Advanced,Basic,Advanced,Medium,Developing
Modern,Full,Basic,Basic,Advanced,Medium,Developing
Modern,None,Basic,None,Advanced,Medium,Developing
Modern,Partial,Advanced,Basic,Basic,Medium,Developing
Mixed,Partial,Advanced,Basic,Advanced,Medium,Developing
Legacy,None,Advanced,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,High,Developing
Mixed,None,Basic,Advanced,Basic,High,Developing
Modern,Full,Advanced,None,Advanced,Medium,Developing
Legacy,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,Partial,Advanced,Basic,Basic,High,Developing
Modern,Full,Basic,Basic,Advanced,Low,Developing
Modern,Partial,Basic,Advanced,Advanced,High,Developing
Mixed,Full,Basic,None,Advanced,Low,Developing
Mixed,Partial,Basic,Advanced,Basic,Medium,Developing
Modern,None,Basic,Basic,Advanced,Medium,Developing
Mixed,None,Basic,Basic,Advanced,Medium,Developing
Modern,Partial,Advanced,Basic,Advanced,Medium,Developing
Modern,Partial,Advanced,Basic,Advanced,Medium,Developing
Modern,None,Basic,Basic,Advanced,Low,Developing
Mixed,Partial,Advanced,Basic,Advanced,Low,Developing
Mixed,None,Advanced,Basic,Basic,Medium,Developing
Modern,None,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,Medium,Developing
Legacy,Partial,Advanced,None,Advanced,Low,Developing
Mixed,Partial,Basic,Basic,Basic,Low,Basic
Modern,None,Basic,Advanced,Basic,Medium,Developing
Mixed,None,Basic,Basic,Basic,Medium,Basic
Legacy,Full,Basic,Advanced,Basic,Medium,Developing
Legacy,None,Basic,None,Basic,Low,Developing
Modern,Full,Basic,Advanced,Basic,High,Developing
Modern,Full,Advanced,Advanced,Basic,Medium,Developing
Mixed,Partial,Advanced,Basic,Advanced,Medium,Developing
Modern,Partial,Advanced,Basic,Basic,Medium,Developing
Modern,Full,Basic,Advanced,Advanced,Medium,Developing
Mixed,None,Basic,Basic,Advanced,High,Developing
Mixed,Full,Basic,Basic,Basic,High,Basic
Modern,Full,Advanced,Basic,Basic,Low,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Advanced,Advanced,Medium,Advanced
Legacy,Full,Basic,Advanced,Basic,Medium,Developing
Modern,Full,Advanced,None,Advanced,Medium,Developing
Mixed,None,Advanced,Advanced,Basic,Medium,Developing
Modern,Partial,Basic,Advanced,Advanced,Low,Developing
Legacy,Partial,Advanced,Basic,Basic,Low,Developing
Modern,None,Advanced,Basic,Advanced,Low,Developing
Legacy,Full,Advanced,Basic,Advanced,Medium,Developing
Modern,Partial,Basic,Basic,Basic,Low,Basic
Modern,Full,Basic,Basic,Advanced,High,Developing
Mixed,Full,Basic,Basic,Basic,Medium,Basic
Mixed,Full,Basic,Basic,Advanced,High,Developing
Modern,Full,Advanced,Advanced,Advanced,High,Advanced
Modern,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Mixed,None,Advanced,Basic,Advanced,Medium,Developing
Modern,Full,Basic,None,Basic,Low,Developing
Mixed,Full,Basic,Basic,Advanced,Medium,Developing
Legacy,Partial,Basic,Basic,Advanced,Low,Developing
Legacy,Full,Basic,Basic,Basic,Low,Basic
Mixed,Partial,Advanced,None,Advanced,High,Developing
Modern,Full,Basic,Basic,Basic,High,Basic
Modern,Partial,Basic,Advanced,Basic,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,Medium,Developing
Legacy,None,Basic,Basic,Advanced,Medium,Developing
Legacy,Partial,Advanced,None,Advanced,Low,Developing
Mixed,Partial,Basic,Advanced,Advanced,Medium,Developing
Modern,Full,Basic,Basic,Advanced,Low,Developing
Mixed,None,Basic,Basic,Advanced,Medium,Developing
Modern,None,Basic,None,Basic,Medium,Developing
Modern,Full,Basic,Basic,Basic,Medium,Basic
Modern,Partial,Advanced,None,Advanced,High,Developing
Modern,None,Advanced,Basic,Basic,Medium,Developing
Modern,Partial,Advanced,Basic,Advanced,High,Developing
Modern,None,Advanced,None,Advanced,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Basic
Mixed,Full,Basic,Advanced,Advanced,Low,Developing
Modern,Partial,Basic,Basic,Basic,Medium,Basic
Modern,Full,Basic,Basic,Basic,Medium,Basic
Mixed,Partial,Basic,Advanced,Basic,Low,Developing
Mixed,None,Basic,Basic,Basic,Low,Basic
Modern,None,Advanced,Basic,Advanced,Low,Developing
Modern,Partial,Advanced,Basic,Advanced,Low,Developing
Modern,Partial,Basic,None,Basic,Low,Developing
Modern,Partial,Advanced,Advanced,Basic,Low,Developing
Modern,Full,Basic,Basic,Advanced,Medium,Developing
Modern,None,Advanced,Advanced,Basic,Low,Developing
Mixed,Full,Basic,Basic,Advanced,Medium,Developing
Modern,None,Basic,Advanced,Advanced,Low,Developing
Legacy,None,Basic,Basic,Basic,Low,Basic
Mixed,Full,Basic,Basic,Advanced,Low,Developing
Modern,Partial,Basic,Basic,Basic,Low,Basic
Modern,None,Basic,None,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Legacy,Full,Advanced,None,Basic,Low,Developing
Legacy,Partial,Basic,Basic,Advanced,Low,Developing
Modern,Full,Basic,Basic,Basic,Medium,Basic
Legacy,Full,Basic,None,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,Medium,Developing
Modern,None,Basic,Advanced,Basic,Medium,Developing
Mixed,Full,Basic,Basic,Advanced,Medium,Developing
Modern,Full,Partial,Advanced,Advanced,Advanced,None
Mixed,Full,Basic,None,Basic,Low,Developing
Modern,Full,Basic,Basic,Advanced,Medium,Developing
Mixed,Partial,Advanced,Basic,Advanced,High,Developing
Legacy,None,Basic,None,Basic,Medium,Developing
Mixed,Partial,Basic,Basic,Advanced,Medium,Developing
Legacy,Full,Partial,Advanced,Advanced,Advanced,Basic
Legacy,Partial,Advanced,None,Basic,Medium,Developing
Mixed,Full,Basic,Basic,Advanced,High,Developing
Modern,Partial,Basic,None,Advanced,Low,Developing
Legacy,Partial,Basic,None,Basic,Medium,Developing
Legacy,Full,Basic,Basic,Advanced,Medium,Developing
Legacy,None,Basic,Advanced,Basic,Medium,Developing
Modern,None,Basic,None,Advanced,Medium,Developing
Mixed,Partial,Basic,Advanced,Basic,Medium,Developing
Modern,Full,Basic,Basic,Advanced,Low,Developing
Modern,Full,Basic,Advanced,Advanced,Low,Developing
Mixed,Full,Advanced,Advanced,Basic,High,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Modern,None,Advanced,None,Advanced,Medium,Developing
Mixed,None,Advanced,Basic,Basic,Medium,Developing
Modern,None,Advanced,Basic,Basic,Medium,Developing
Legacy,Partial,Basic,None,Advanced,Medium,Developing
Modern,Partial,Partial,Advanced,Advanced,Advanced,Basic
Mixed,None,Advanced,Basic,Basic,Medium,Developing
Mixed,Partial,Basic,Basic,Advanced,Low,Developing
Modern,Partial,Advanced,Basic,Advanced,High,Developing
Mixed,Full,Basic,Advanced,Basic,Medium,Developing
Modern,Partial,Advanced,Advanced,Basic,Low,Developing
Mixed,Partial,Basic,Advanced,Advanced,Low,Developing
Legacy,Full,Partial,Advanced,Advanced,Advanced,Basic
Modern,Partial,Basic,None,Basic,Medium,Developing
Modern,Full,Advanced,None,Advanced,Medium,Developing
Modern,Partial,Basic,Basic,Advanced,Medium,Developing
Mixed,None,Basic,Advanced,Basic,Medium,Developing
Modern,Partial,Basic,Advanced,Basic,Medium,Developing
Legacy,Full,Advanced,Basic,Advanced,High,Developing
Modern,None,Partial,Advanced,Advanced,Advanced,Basic
Legacy,Full,Basic,None,Basic,High,Developing
Mixed,Partial,Basic,None,Advanced,Low,Developing
Modern,Partial,Partial,Advanced,Advanced,Advanced,Basic
Modern,None,Advanced,Advanced,Basic,Medium,Developing
Legacy,Partial,Advanced,Basic,Advanced,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,High,Developing
Mixed,Full,Basic,Advanced,Basic,Low,Developing
Modern,Full,Advanced,Advanced,Basic,Medium,Developing
Mixed,Full,Partial,Advanced,Advanced,Advanced,Basic
Modern,Full,Basic,Basic,Advanced,Low,Developing
Legacy,Full,Basic,None,Advanced,Medium,Developing
Mixed,Full,Basic,Advanced,Basic,Low,Developing
Modern,None,Advanced,Advanced,Basic,Medium,Developing
Mixed,Full,Basic,Basic,Advanced,Medium,Developing
Legacy,Full,Basic,Basic,Advanced,High,Developing
Legacy,None,Advanced,Basic,Advanced,High,Developing
Modern,Full,Advanced,Advanced,Advanced,Low,Advanced
Mixed,Full,Advanced,Basic,Basic,Medium,Developing
Modern,Partial,Advanced,Advanced,Basic,Medium,Developing
Mixed,Partial,Basic,Advanced,Advanced,Medium,Developing
Mixed,Partial,Basic,Advanced,Advanced,Medium,Developing
Legacy,Full,Partial,Advanced,Advanced,Advanced,Basic
Mixed,Full,Advanced,Basic,Basic,Medium,Developing
Modern,Full,Advanced,None,Basic,Medium,Developing
Modern,Partial,Basic,Basic,Advanced,High,Developing
Modern,Partial,Basic,Advanced,Basic,High,Developing
Modern,Full,Basic,Basic,Advanced,Medium,Developing
Legacy,Partial,Partial,Advanced,Advanced,Advanced,Basic
Modern,None,Advanced,Advanced,Basic,Low,Developing
Legacy,None,Basic,Basic,Advanced,Medium,Developing
Legacy,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Mixed,Partial,Basic,Advanced,Advanced,Medium,Developing
Legacy,Partial,Basic,Basic,Advanced,Low,Developing
Mixed,None,Basic,Advanced,Basic,Low,Developing
Mixed,Full,Basic,None,Basic,Low,Developing
Modern,None,Basic,Advanced,Advanced,Medium,Developing
Modern,None,Basic,Basic,Advanced,Medium,Developing
Mixed,Partial,Partial,Advanced,Advanced,Advanced,Basic
Mixed,Full,Advanced,Basic,Basic,High,Developing
Modern,Full,Partial,Advanced,Advanced,Advanced,Basic
Legacy,None,Basic,Basic,Advanced,Low,Developing
Modern,None,Basic,Basic,Basic,High,Basic
Legacy,Full,Basic,Basic,Advanced,High,Developing
Modern,None,Advanced,None,Advanced,Medium,Developing
Modern,None,Basic,Basic,Basic,High,Basic
Mixed,None,Basic,None,Advanced,High,Developing
Modern,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Legacy,Full,Advanced,Basic,Advanced,High,Developing
